"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"CRC","CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED","0.00013","1.40184","-0.12023","-0.00842","-0.34327","-0.1556","0.45187"
"CRD","CHIANGMAI RIMDOI PUBLIC COMPANY LIMITED","-0.00031","0.98397","1.23221","0.25275","-0.13863","0.08868","0.09222"
"CSC","CROWN SEAL PUBLIC COMPANY LIMITED","-5e-05","0.37381","0.18771","0.0248","0.01284","-0.11859","0.074"
"CSP","CSP STEEL CENTER PUBLIC COMPANY LIMITED","-0.00022","0.86481","0.99162","0.21814","-0.21646","0.34129","0.06735"
"CSR","CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED","0.00024","0.02552","0.0498","0.05526","-0.06055","-0.03687","-0.00064"
"CSS","COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED","-0.00033","1.53387","1.31717","0.15323","-0.17223","0.00485","0.2375"
"CTARAF","CENTARA HOTELS & RESORTS LEASEHOLD PROPERTY FUND","-5e-04","0.28281","0.12549","0.25412","-0.10736","-0.03996","0.04194"
"CTW","CHAROONG THAI WIRE & CABLE PUBLIC COMPANY LIMITED","-0.00034","0.74036","0.72683","0.1955","-0.13483","0.15669","0.10048"
"CWT","CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED","0.00018","1.40893","1.42519","-0.11412","-0.24539","0.22709","0.14616"
"D","DENTAL CORPORATION PUBLIC COMPANY LIMITED","0.00022","0.95297","0.66942","-0.16152","-0.29537","-0.03699","0.10796"
"DCC","DYNASTY CERAMIC PUBLIC COMPANY LIMITED","-3e-04","0.5697","0.47733","0.08057","0.15994","-0.02796","0.10142"
"DCON","DCON PRODUCTS PUBLIC COMPANY LIMITED","-0.00023","0.97407","1.05859","0.30177","0.07827","0.06931","0.11727"
"DDD","DO DAY DREAM PUBLIC COMPANY LIMITED","-0.00111","1.47309","1.22691","-0.15342","0.12491","0.09431","0.18333"
"DELTA","DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED","0.00127","1.25","-0.12024","-1.13975","1.64733","1.53","0.25537"
"DEMCO","DEMCO PUBLIC COMPANY LIMITED","-0.00035","1.38723","1.22979","0.25624","-0.04457","-0.16151","0.1956"
"DEXON","DEXON Technology Public Company Limited","-0.00298","2.63506","2.84499","0.4696","1.11321","-0.46475","0.31567"
"DHOUSE","DHOUSE PATTANA PUBLIC COMPANY LIMITED","6e-05","1.02042","1.0115","0.44295","0.07123","0.21948","0.08417"
"DIF","DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND","-0.00159","0.40147","-0.04573","-0.00976","-0.26235","-0.01048","0.04146"
"DIMET","DIMET (SIAM) PUBLIC COMPANY LIMITED","0.00014","1.37472","2.11267","0.18418","-0.24278","0.57498","0.07398"
"DITTO","DITTO (THAILAND) PUBLIC COMPANY LIMITED","0.0016","1.73209","1.58416","-0.33612","0.46089","0.34623","0.13789"
"DMT","DON MUANG TOLLWAY PUBLIC COMPANY LIMITED","-0.00046","0.96529","0.59555","0.18545","0.13624","0.22685","0.19225"
"DOD","DOD BIOTECH PUBLIC COMPANY LIMITED","-0.00072","1.5278","1.42947","-0.06788","-0.02394","-0.31771","0.21238"
"DOHOME","DOHOME PUBLIC COMPANY LIMITED","0.00086","1.35573","0.71152","-0.20017","0.09445","-0.31171","0.22672"
"DPAINT","DELTA PAINT PUBLIC COMPANY LIMITED","-0.00174","1.47791","0.91161","-0.50316","-0.017","0.41934","0.13557"
"DREIT","DUSIT THANI FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST","-0.00019","0.3423","0.00585","0.05019","-0.06633","0.01326","0.05918"
"DRT","DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED","-1e-04","0.57882","0.35343","0.11928","0.04729","-0.00505","0.14847"
"DTCENT","D.T.C. Enterprise Public Company Limited","-0.00164","1.88355","1.64853","0.76331","0.48079","0.34844","0.21136"
"DTCI","D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED","0.00091","0.32627","0.1022","0.09721","-0.18878","0.20495","0.0045"
"DUSIT","DUSIT THANI PUBLIC COMPANY LIMITED","0.00022","0.61554","0.49269","-0.04668","-0.0104","0.15353","0.05939"
"DV8","DV8 PUBLIC COMPANY LIMITED","-0.00027","1.25667","1.33516","-0.07644","-0.60498","-9e-04","0.05539"
"EA","ENERGY ABSOLUTE PUBLIC COMPANY LIMITED","0.00102","1.30587","0.17587","-0.39687","-0.19961","-0.40404","0.25845"
"EASON","EASON & CO PUBLIC COMPANY LIMITED","-0.00025","0.88117","0.90734","0.23419","-0.18495","-0.01638","0.10738"
"EASTW","EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.","-0.00045","0.54243","0.28031","0.01841","0.02879","-0.08371","0.12888"
"ECF","EAST COAST FURNITECH PUBLIC COMPANY LIMITED","0","0.9852","1.07929","-0.0819","-0.1613","0.02834","0.09047"
"ECL","EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED","0.00027","1.55981","1.39427","0.29667","0.18914","-0.1351","0.17571"
"EE","ETERNAL ENERGY PUBLIC COMPANY LIMITED","-0.00016","1.29862","0.973","-0.20068","-0.09182","-0.01696","0.12762"
"EFORL","E FOR L AIM PUBLIC COMPANY LIMITED","0.00188","1.60303","1.42648","0.09209","0.13759","0.24891","0.02323"
"EGATIF","NORTH BANGKOK POWER PLANT BLOCK 1 INFRASTRUCTURE FUND, ELECTRICITY GENERATING AUTHORITY OF THAILAND","-0.00052","0.2531","0.04524","0.21262","-0.20207","-0.04772","0.03537"
"EGCO","ELECTRICITY GENERATING PUBLIC COMPANY LIMITED","1e-04","0.67628","-0.31775","-0.13941","-0.40816","-0.27359","0.29558"
"EKH","EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED","0.00022","1.09726","0.47654","-0.20631","-0.08468","-0.00461","0.23388"
"EMC","EMC PUBLIC COMPANY LIMITED","0.00017","1.20416","1.28114","0.25179","-0.28211","0.07091","0.04739"
"EP","EASTERN POWER GROUP PUBLIC COMPANY LIMITED","3e-05","1.0321","1.00598","0.06672","-0.13614","-0.08511","0.14355"
"EPG","EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED","2e-04","1.17665","0.75378","-0.12626","-0.34953","-0.10803","0.19585"
"ERW","THE ERAWAN GROUP PUBLIC COMPANY LIMITED","0.00022","1.36469","0.34683","0.04639","-0.05368","-0.16124","0.24127"
"ERWPF","ERAWAN HOTEL GROWTH PROPERTY FUND","0.00328","0.30935","0.64169","-0.30608","-0.42021","-0.30028","0.00795"
"ESTAR","EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED","-0.00037","1.2572","0.9598","0.3285","-0.21213","-0.151","0.21982"
"ETC","EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED","-0.00017","1.30814","1.16664","0.21278","-0.2885","-0.13418","0.12393"
"ETE","EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED","-0.00066","1.36915","1.72556","0.20846","0.03449","0.28036","0.12074"
"EVER","EVERLAND PUBLIC COMPANY LIMITED","-0.00039","1.71707","1.54955","-0.03984","-0.47333","-0.11337","0.14669"
"FANCY","FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED","-0.00018","1.49289","1.32305","-0.01914","-0.26209","-0.04028","0.12812"
"FE","FAR EAST FAME LINE DDB PUBLIC COMPANY LIMITED","0.00016","0.10337","0.01258","-0.17429","-0.13414","0.11192","0.00086"
"FLOYD","FLOYD PUBLIC COMPANY LIMITED","-5e-04","0.93474","0.96903","0.08669","0.06693","0.11288","0.07919"
"FMT","FINE METAL TECHNOLOGIES PUBLIC COMPANY LIMITED","0.00053","0.42723","0.16221","0.08874","-0.08857","0.07706","0.02405"
"FN","FN FACTORY OUTLET PUBLIC COMPANY LIMITED","-0.00037","1.49787","1.57684","0.01739","-0.35162","0.03053","0.15705"
"FNS","FNS HOLDINGS PUBLIC COMPANY LIMITED","2e-05","0.71634","0.59592","0.20591","-0.22046","-0.13333","0.11956"
"FORTH","FORTH CORPORATION PUBLIC COMPANY LIMITED","0.00073","1.05629","1.10891","-0.29769","0.35518","0.22638","0.13402"
"FPI","FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED","4e-05","0.6501","0.72719","0.11408","0.11658","-0.02266","0.08575"
"FPT","FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED","-5e-05","0.80302","0.34652","0.1068","-0.03923","-0.11071","0.17782"
"FSMART","FORTH SMART SERVICE PUBLIC COMPANY LIMITED","0.00048","1.19022","1.377","-0.46836","0.21962","0.2502","0.16054"
"FSX","FINANSIA X PUBLIC COMPANY LIMITED","-0.00025","1.81557","0.05315","1.34644","-0.23967","-0.25186","0.02485"
"FTE","FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED","-0.00036","0.72317","0.63104","0.20075","-0.07318","0.02741","0.1213"
"FTI","Function International Public Company Limited","-0.00157","0.71165","0.45586","-0.20417","-0.28634","0.27686","0.05656"
"FTREIT","FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT","7e-05","0.26531","0.23398","0.05962","0.05993","-0.08146","0.03483"
"FUTUREPF","FUTURE PARK LEASEHOLD PROPERTY FUND","-0.00078","0.38939","-0.04452","-0.10644","-0.23094","0.08293","0.04016"
"FVC","FILTER VISION PUBLIC COMPANY LIMITED","6e-05","1.44903","1.36185","-0.20731","-0.39677","0.17228","0.12002"
"GABLE","G-Able Public Company Limited","0.00039","1.93416","1.94523","0.38956","-0.77846","-1.14709","0.23268"
"GAHREIT","GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST","-6e-05","0.17335","0.03351","0.05509","-0.04456","-0.03644","0.01905"
"GBX","GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED","-5e-05","1.04822","0.9412","0.31335","-0.04779","0.04429","0.12082"
"GC","GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED","0.00046","0.50121","0.24422","0.07951","-0.00172","-0.01211","0.05278"
"GCAP","G CAPITAL PUBLIC COMPANY LIMITED","-0.00035","1.43769","1.20204","0.11412","0.01131","-0.32594","0.16289"
"GEL","GENERAL ENGINEERING PUBLIC COMPANY LIMITED","-0.00027","1.2433","1.06164","0.19211","-0.35153","-0.02519","0.09762"
"GENCO","GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.","1e-05","1.38819","1.55877","0.19016","-0.31608","0.0135","0.1442"
"GFC","Genesis Fertility Center Public Company Limited","0.01203","2.23887","3.66799","-0.26785","-1.0092","-2.61691","-0.37472"
"GFPT","GFPT PUBLIC COMPANY LIMITED","8e-05","0.96753","0.52416","0.0034","-0.0343","-0.18338","0.15596"
"GGC","GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED","0.00014","1.47107","0.64245","0.28991","-0.07524","-0.16355","0.30271"
"GIFT","GIFT INFINITE PUBLIC COMPANY LIMITED","7e-04","1.03171","1.0192","0.08703","-0.17594","-0.06764","0.08695"
"GJS","G J STEEL PUBLIC COMPANY LIMITED","0.00053","1.29099","1.23157","0.62998","-0.06165","0.22917","0.04479"
"GL","GROUP LEASE PUBLIC COMPANY LIMITED","-0.00034","1.25493","0.68466","-0.22468","-0.02655","-0.27916","0.0847"
"GLAND","GRAND CANAL LAND PUBLIC COMPANY LIMITED","-8e-05","0.5754","0.42636","0.07004","-0.09663","-0.04495","0.05995"
"GLOBAL","SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED","0.00031","1.0561","0.23166","-0.12305","0.12312","-0.14697","0.21178"
"GLOCON","GLOBAL CONSUMER PUBLIC COMPANY LIMITED","-0.00031","1.28351","1.18576","-0.06615","-0.48201","0.26927","0.08737"
"GLORY","GLORY FOREVER PUBLIC COMPANY LIMITED","-0.00122","1.77884","1.88976","0.36777","-0.22578","0.02802","0.13138"
"GPI","GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED","-0.00038","0.80689","0.78129","0.17577","0.09633","0.12495","0.11696"
"GPSC","GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED","0.00064","1.18066","-0.1853","-0.5726","-0.64274","-0.4894","0.35501"
"GRAMMY","GMM GRAMMY PUBLIC COMPANY LIMITED","-0.00027","0.57586","0.38636","-0.01825","-0.10539","0.12073","0.05977"
"GRAND","GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED","-0.00027","1.03198","0.97139","-0.01549","-0.24385","0.0296","0.10157"
"GREEN","GREEN RESOURCES PUBLIC COMPANY LIMITED","0","1.17172","1.04085","-0.17588","-0.48015","0.32458","0.07363"
"GROREIT","GRANDE ROYAL ORCHID HOSPITALITY REAL ESTATE INVESTMENT TRUST WITH BUY-BACK CONDITION","-0.00016","0.0425","-0.00047","0.05548","-0.03798","0.029","0.00572"
"GSC","GLOBAL SERVICE CENTER PUBLIC COMPANY LIMITED","-1e-04","1.03649","1.08678","0.21178","0.50355","-0.16962","0.06878"
"GSTEEL","G STEEL PUBLIC COMPANY LIMITED","-0.00019","0.48239","0.58996","-0.09496","-0.22053","0.03952","0.014"
"GTB","GETABEC PUBLIC COMPANY LIMITED","-0.00039","1.02006","1.04322","0.21544","-0.0456","-0.07019","0.13262"
"GTV","GREEN TECH VENTURES PUBLIC COMPANY LIMITED","5e-05","1.23426","1.26134","-0.01657","-0.54251","-0.24452","0.07116"
"GULF","GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED","0.00132","1.11246","-0.29011","-0.92468","-1.17023","-0.34477","0.45665"
"GUNKUL","GUNKUL ENGINEERING PUBLIC COMPANY LIMITED","0.00032","1.30298","0.91113","-0.1232","-0.21989","-0.13426","0.25672"
"GVREIT","GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST","-0.00044","0.22315","0.02854","0.2083","0.10617","-0.14961","0.04453"
"GYT","GOODYEAR (THAILAND) PUBLIC COMPANY LIMITED","-0.00029","0.13425","0.13197","0.07575","0.01627","0.0199","0.0062"
"HANA","HANA MICROELECTRONICS PUBLIC COMPANY LIMITED","0.00053","1.05508","0.4264","-0.25399","0.57601","0.07947","0.13478"
"HARN","HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED","-0.00034","0.95932","0.87945","0.23943","-0.03835","0.18948","0.1648"
"HEALTH","HEALTH EMPIRE CORPORATION PUBLIC COMPANY LIMITED","-0.00242","0.21174","0.19947","-0.69209","-1.60387","-0.66248","0.02143"
"HENG","HENG LEASING AND CAPITAL PUBLIC COMPANY LIMITED","0.00022","1.67803","0.88018","-0.23729","-0.27082","-0.19249","0.24039"
"HFT","HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED","0.00011","0.85637","0.80387","0.0529","0.21918","0.15402","0.12208"
"HL","HEALTHLEAD PUBLIC COMPANY LIMITED","0.00026","1.61822","1.09669","0.23281","-0.22869","0.52998","0.12505"
"HMPRO","HOME PRODUCT CENTER PUBLIC COMPANY LIMITED","0.00024","1.04383","-0.01185","-0.1792","0.08782","-0.19537","0.33534"
"HPF","HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND","-1e-05","0.17101","0.14019","0.12203","0.0133","0.04989","0.02816"
"HPT","HOME POTTERY PUBLIC COMPANY LIMITED","-0.00032","1.26418","1.54783","0.06912","0.07751","0.29118","0.11359"
"HTECH","HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED","0.00016","1.17888","1.23948","0.32971","0.03159","-0.18115","0.14001"
"HUMAN","HUMANICA PUBLIC COMPANY LIMITED","5e-04","0.95571","0.80277","0.0388","0.07769","-0.21622","0.12856"
"HYDRO","HYDROTEK PUBLIC COMPANY LIMITED","-0.00074","0.92638","1.03485","0.25495","0.02004","0.13491","0.03368"
"HYDROGEN","Hydrogen Freehold and Leasehold Real Estate Investment Trust","-0.00019","0.26098","0.03645","0.19036","0.07626","0.08614","0.05281"
"I2","I2 Enterprise Public Company Limited","-0.00335","1.04861","2.93595","-0.46708","-0.25266","-0.89034","0.15847"
"ICC","I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED","1e-04","0.24403","0.1727","0.01318","-0.0782","0.02526","0.01626"
"ICHI","ICHITAN GROUP PUBLIC COMPANY LIMITED","1e-05","1.30473","1.06938","-0.06848","0.13454","0.13513","0.19698"
"ICN","INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY LIMITED","1e-05","1.05207","1.13231","0.10252","-0.10782","0.0041","0.09967"
"IFEC","INTER FAR EAST ENERGY CORPORATION PUBLIC COMPANY LIMITED","-0.00049","0.63112","0.75122","0.15239","-0.21444","0.02924","0.0418"
"IFS","IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED","2e-05","0.95684","0.82413","0.23054","0.05684","-0.13636","0.18342"
"IHL","INTERHIDES PUBLIC COMPANY LIMITED","-0.00042","1.0377","0.95755","0.17225","0.18505","0.1129","0.17038"
"IIG","I&I GROUP PUBLIC COMPANY LIMITED","-0.00033","1.39545","1.45103","-0.4976","-0.39405","-0.17292","0.13002"
"III","TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED","0.00034","1.20918","1.19356","0.00638","-0.16648","0.10034","0.15487"
"ILINK","INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED","0.00066","1.17184","1.13001","0.041","0.34388","-0.01395","0.09507"
"ILM","INDEX LIVING MALL PUBLIC COMPANY LIMITED","9e-05","1.49851","0.8107","0.0944","-0.32885","0.07475","0.30659"
"IMH","INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED","0.00094","1.18088","0.9618","-0.24263","-0.18818","-0.0204","0.08136"
"IMPACT","IMPACT GROWTH REAL ESTATE INVESTMENT TRUST","0.00013","0.51442","0.23843","0.08549","0.01311","-0.04472","0.11062"
"IND","INDEX INTERNATIONAL GROUP PUBLIC COMPANY LIMITED","-0.00191","1.379","1.46618","-0.12224","-0.40734","-0.471","0.15658"
"INET","INTERNET THAILAND PUBLIC COMPANY LIMITED","0.00018","1.11963","1.21477","0.06291","0.1132","0.13035","0.13687"
"INETREIT","INET LEASEHOLD REAL ESTATE INVESTMENT TRUST","-2e-04","0.29604","0.0696","0.05726","0.16571","0.10954","0.03801"
"INGRS","INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED","-0.00018","1.26924","1.19957","0.18925","0.00579","-0.00148","0.1054"
"INOX","POSCO-THAINOX PUBLIC COMPANY LIMITED","-9e-05","1.1109","0.92253","0.14126","-0.69471","0.20108","0.10151"
"INSET","INFRASET PUBLIC COMPANY LIMITED","-0.00059","1.20335","1.62579","0.03089","0.12735","0.03505","0.1813"
"INSURE","INDARA INSURANCE PUBLIC COMPANY LIMITED","0.00135","0.08301","0.14716","0.01254","-0.33752","-0.14163","-9e-05"
"INTUCH","INTOUCH HOLDINGS PUBLIC COMPANY LIMITED","2e-05","0.78083","-0.14557","-0.52764","-0.35098","0.18856","0.27721"
"IP","INTER PHARMA PUBLIC COMPANY LIMITED","0.00014","1.33069","0.98515","-0.16655","-0.16572","0.00729","0.15686"
"IRC","INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED","-0.00013","0.51596","0.35024","0.14859","0.11005","-0.02267","0.11609"
"IRCP","INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.","-0.00023","1.3262","1.39624","-0.05011","-0.0184","0.11443","0.10187"
"IRPC","IRPC PUBLIC COMPANY LIMITED","-3e-04","1.29919","0.04039","0.50551","-0.18505","0.04044","0.37727"
"IT","IT CITY PUBLIC COMPANY LIMITED","0.00018","1.0088","1.00866","0.23071","0.31734","0.1133","0.0903"
"ITC","i-Tail Corporation Public Company Limited","-5e-04","1.34826","1.11222","0.40602","-0.38133","-0.81474","0.10966"
"ITD","ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED","-0.00063","1.81199","1.0925","0.27131","-0.28997","-0.11221","0.39562"
"ITEL","INTERLINK TELECOM PUBLIC COMPANY LIMITED","-2e-04","1.44965","1.34598","-0.20331","-0.14483","0.04115","0.2239"
"ITNS","INTERNATIONAL NETWORK SYSTEM PUBLIC COMPANY LIMITED","-7e-05","1.13562","1.35861","-0.13539","0.2899","-0.08604","0.13734"
"ITTHI","ITTHIRIT NICE CORPORATION PUBLIC COMPANY LIMITED","-0.00258","1.71776","2.53354","0.11204","-0.4105","-0.95256","0.14277"
"IVL","INDORAMA VENTURES PUBLIC COMPANY LIMITED","5e-05","1.56847","-0.07683","0.44795","-0.03648","-0.06115","0.39348"
"J","JAS ASSET PUBLIC COMPANY LIMITED","0.00012","1.23134","1.30043","-0.08263","0.04657","0.12598","0.12938"
"JAK","JAKPAISAN ESTATE PUBLIC COMPANY LIMITED","-0.00066","0.56652","0.47412","0.15989","0.08122","-0.01101","0.05739"
"JAS","JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED","-3e-04","1.15576","0.44758","-0.13654","-0.48919","-0.0675","0.12704"
"JASIF","JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND","-0.00095","0.21129","0.12191","0.15299","0.38625","0.06216","0.0101"
"JCK","JCK INTERNATIONAL PUBLIC COMPANY LIMITED","-0.00116","1.24735","0.97862","0.29396","-0.15774","-0.06021","0.10608"
"JCKH","JCK HOSPITALITY PUBLIC COMPANY LIMITED","-0.00071","1.13893","1.08333","0.22926","0.20231","0.22359","0.03413"
"JCT","JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED","0.00019","0.23669","0.10248","-0.02247","0.06053","-0.15375","0.01845"
"JDF","JD Food Public Company Limited","-0.00153","1.48738","1.24915","0.65378","0.26384","0.28043","0.12852"
"JKN","JKN GLOBAL GROUP PUBLIC COMPANY LIMITED","-0.00078","1.16271","1.06478","0.14548","0.17321","-0.05655","0.08791"
"JMART","JAYMART GROUP HOLDINGS PUBLIC COMPANY LIMITED","0.00045","1.77917","1.61087","-0.0862","0.46595","-0.23192","0.28059"
"JMT","JMT NETWORK SERVICES PUBLIC COMPANY LIMITED","0.00105","1.32048","1.04151","-0.46573","0.20091","-0.26212","0.23439"
"JR","J.R.W. UTILITY PUBLIC COMPANY LIMITED","-0.00063","0.73794","0.62898","-0.0985","-0.17891","-0.0964","0.15907"
"JSP","JSP PHARMACEUTICAL MANUFACTURING (THAILAND) PUBLIC COMPANY LIMITED","-0.00153","0.50348","0.58063","0.32149","-0.23311","-0.07142","0.04645"
"JTS","JASMINE TECHNOLOGY SOLUTION PUBLIC COMPANY LIMITED","0.00185","1.06638","1.2237","0.40491","0.10394","-0.12905","0.05014"
"JUBILE","JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED","-0.00012","0.74245","0.49106","0.11817","0.03337","-0.01096","0.14983"
"K","KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED","-0.00061","1.42358","1.42843","0.1233","-0.13547","0.17278","0.12344"
"KAMART","KARMARTS PUBLIC COMPANY LIMITED","0.00051","1.31228","1.0406","-0.30975","0.25639","0.13326","0.17727"
"KASET","THAI HA PUBLIC COMPANY LIMITED","3e-05","0.9588","0.84799","0.0547","0.12288","0.05561","0.08406"
"KBANK","KASIKORNBANK PUBLIC COMPANY LIMITED","-0.00011","1.08621","-0.38996","0.59782","-0.35565","-0.18226","0.4583"
"KBS","KHONBURI SUGAR PUBLIC COMPANY LIMITED","-0.00025","0.7903","0.70482","0.21525","-0.14765","0.03735","0.1226"
"KBSPIF","KHONBURI SUGAR POWER PLANT INFRASTRUCTURE FUND","-0.00157","0.26677","0.14401","-0.01407","0.22974","0.44998","0.05164"
"KC","K.C. PROPERTY PUBLIC COMPANY LIMITED","0.00044","0.6532","1.06279","0.33067","-0.48856","0.31429","0.00958"
"KCAR","KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY LIMITED","-0.00012","0.44398","0.37034","0.00499","-0.085","0.04855","0.07119"
"KCC","Knight Club Capital Asset Management Public Company Limited","-0.00017","1.71007","2.02166","0.20244","-0.00721","-0.44542","0.17427"
"KCE","KCE ELECTRONICS PUBLIC COMPANY LIMITED","0.00081","1.33839","0.58463","-0.20195","0.49203","0.06084","0.19449"
"KCG","KCG CORPORATION PUBLIC COMPANY LIMITED","0.00617","1.2796","1.09235","-0.09851","-0.19669","0.36314","-0.01807"
"KCM","K.C. METALSHEET PUBLIC COMPANY LIMITED","-3e-04","1.42616","1.5645","0.20017","-0.01083","-0.00152","0.13787"
"KDH","THONBURI MEDICAL CENTRE PUBLIC COMPANY LIMITED","0.00018","0.30979","0.12273","0.11329","0.18371","-0.14543","0.0272"
"KEX","KERRY EXPRESS (THAILAND) PUBLIC COMPANY LIMITED","-0.00322","1.32429","0.52218","-0.25775","-0.25358","0.16452","0.14949"
"KGEN","KING GEN PUBLIC COMPANY LIMITED","6e-05","0.95811","0.99306","-0.40076","-0.26336","0.10398","0.0488"
"KGI","KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED","0.00014","0.69812","0.21531","0.07985","0.00079","-0.01926","0.18174"
"KIAT","KIATTANA TRANSPORT PUBLIC COMPANY LIMITED","-0.00012","1.07218","1.00477","-0.12797","0.01788","0.10599","0.12287"
"KISS","ROJUKISS INTERNATIONAL PUBLIC COMPANY LIMITED","-0.0019","1.59048","1.54355","0.19301","0.3052","0.3724","0.22019"
"KJL","KIJCHAROEN ENGINEERING ELECTRIC PUBLIC COMPANY LIMITED","-0.00178","1.71431","0.94636","-0.42148","-0.2303","1.18724","0.03738"
"KK","K&K SUPERSTORE SOUTHERN PUBLIC COMPANY LIMITED","-0.00039","1.19741","0.94545","0.35461","-0.10548","0.16419","0.09763"
"KKC","KULTHORN KIRBY PUBLIC COMPANY LIMITED","-0.00078","1.07058","1.25258","-0.04515","-0.19051","0.21517","0.09059"
"KKP","KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED","0.00011","0.95954","0.02117","0.32432","-0.11145","-0.13125","0.3133"
"KLINIQ","The Klinique Medical Clinic Public Company Limited","0.00089","1.25684","1.80986","-0.48504","-0.29654","-0.02783","0.13535"
"KOOL","MASTERKOOL INTERNATIONAL PUBLIC COMPANY LIMITED","-0.00057","1.88343","1.7906","0.00028","-0.24859","0.20384","0.17987"
"KPNPF","KPN PROPERTY FUND","-0.00036","0.05568","0.11891","0.02763","0.05836","0.05576","0.00091"
"KSL","KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED","-0.00036","1.10482","0.86138","0.31804","-0.15368","0.10538","0.18314"
"KTB","KRUNG THAI BANK PUBLIC COMPANY LIMITED","-3e-05","0.9625","-0.31008","0.4579","-0.23218","-0.06488","0.47173"
"KTBSTMR","KTBST MIXED FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST","-0.00078","0.1354","0.10301","0.09261","-0.02722","-0.04846","0.01273"
"KTC","KRUNGTHAI CARD PUBLIC COMPANY LIMITED","0.00114","1.34987","0.5166","0.08262","0.08171","-0.04259","0.21069"
"KTIS","KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED","-0.00033","0.5221","0.37964","-0.01972","-0.34743","-0.02248","0.07218"
"KTMS","KT Medical Service Public Company Limited","-0.00099","1.11694","1.33499","-0.06159","-0.0018","-0.17849","0.16685"
"KUMWEL","KUMWELL CORPORATION PUBLIC COMPANY LIMITED","0.00061","1.18543","1.30472","0.08609","-0.19939","0.13881","0.09703"
"KUN","VILLA KUNALAI PUBLIC COMPANY LIMITED","0.00058","0.37552","0.39121","-0.04355","-0.01134","0.15947","0.02947"
"KWC","KRUNGDHEP SOPHON PUBLIC COMPANY LIMITED","0.00024","0.12454","0.06575","0.1047","0.12082","-0.03391","0.00245"
