"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"AMC","ASIA METAL PUBLIC COMPANY LIMITED","0.00012","1.14626","1.1166","0.31158","-0.26927","0.09322","0.14857"
"AMR","AMR ASIA PUBLIC COMPANY LIMITED","-0.00208","1.09433","1.04726","0.1716","-0.01494","0.17212","0.14212"
"ANAN","ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED","-0.00045","1.37552","0.7937","0.32776","0.01921","-0.10509","0.23263"
"AOT","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","0.00059","1.06338","-0.38501","-0.33879","-0.02142","-0.00382","0.44391"
"AP","AP (THAILAND) PUBLIC COMPANY LIMITED","0.00035","1.04901","0.48213","0.17399","-0.0168","-0.04282","0.23817"
"APCO","ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED","0.00026","0.98661","0.9523","-0.05852","-0.00834","0.1213","0.11564"
"APCS","ASIA PRECISION PUBLIC COMPANY LIMITED","0.00058","0.6995","0.87929","0.17783","-0.07577","0.17817","0.05128"
"APEX","APEX DEVELOPMENT PUBLIC COMPANY LIMITED","-0.00079","0.42178","0.2846","0.13767","-0.25517","-0.25397","0.00845"
"APP","APPLICAD PUBLIC COMPANY LIMITED","-0.00026","1.08877","0.82638","-0.17603","0.10719","0.31416","0.09733"
"APURE","AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED","7e-04","1.09724","1.07887","0.10673","-0.17179","-0.04135","0.11054"
"AQUA","AQUA CORPORATION PUBLIC COMPANY LIMITED","-0.00027","0.99553","0.91584","0.12172","-0.07867","0.06345","0.10911"
"ARIN","ARINSIRI LAND PUBLIC COMPANY LIMITED","0.00158","1.18191","1.15937","-0.23128","-0.47518","-0.1155","0.07151"
"ARIP","ARIP PUBLIC COMPANY LIMITED","0.00019","1.39255","1.2508","0.18878","-0.02647","-0.02516","0.11873"
"ARROW","ARROW SYNDICATE PUBLIC COMPANY LIMITED","8e-05","0.73204","0.47964","0.11759","0.10017","-0.01668","0.12503"
"AS","ASPHERE INNOVATIONS PUBLIC COMPANY LIMITED","0.00055","0.88882","1.0081","-0.19017","0.33864","-0.0045","0.0459"
"ASAP","SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED","9e-05","1.36782","1.30536","0.01967","0.02795","0.00813","0.11734"
"ASEFA","ASEFA PUBLIC COMPANY LIMITED","-0.00019","0.89769","0.62768","0.02579","-0.01219","0.09587","0.15274"
"ASIA","ASIA HOTEL PUBLIC COMPANY LIMITED","-6e-05","0.53333","0.42605","0.00402","-0.26523","0.03036","0.07189"
"ASIAN","ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED","0.00098","1.09307","1.22124","0.23165","0.37748","0.08035","0.09204"
"ASIMAR","ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED","-2e-05","1.29827","1.20925","0.49288","-0.00869","0.04854","0.18179"
"ASK","ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED","0.00012","0.92973","0.51925","-0.07352","0.08887","-0.12702","0.20082"
